DateTime,HMC Jacobs 4 A,HMC Jacobs 4 B,sensor_4_average
2024-09-05T07:20:00Z,45,43,44
2024-09-05T07:30:00Z,50,50,50
2024-09-05T07:40:00Z,57,62,59.5
2024-09-05T07:50:00Z,57,60,58.5
2024-09-05T08:00:00Z,76,84,80
2024-09-05T08:10:00Z,67,72,69.5
2024-09-05T08:20:00Z,46,47,46.5
2024-09-05T08:30:00Z,39,37,38
2024-09-05T08:40:00Z,37,35,36
2024-09-05T08:50:00Z,38,35,36.5
2024-09-05T09:00:00Z,36,36,36
2024-09-05T09:10:00Z,34,35,34.5
2024-09-05T09:20:00Z,36,34,35
2024-09-05T09:30:00Z,36,35,35.5
2024-09-05T09:40:00Z,36,34,35
2024-09-05T09:50:00Z,35,34,34.5
2024-09-05T10:00:00Z,32,31,31.5
2024-09-05T10:10:00Z,32,31,31.5
2024-09-05T10:20:00Z,31,34,32.5
2024-09-05T10:30:00Z,31,29,30
2024-09-05T10:40:00Z,33,34,33.5
2024-09-05T10:50:00Z,37,37,37
2024-09-05T11:00:00Z,38,36,37
2024-09-05T11:10:00Z,38,36,37
2024-09-05T11:20:00Z,37,38,37.5
2024-09-05T11:30:00Z,36,38,37
2024-09-05T11:40:00Z,35,35,35
2024-09-05T11:50:00Z,38,39,38.5
2024-09-05T12:00:00Z,39,39,39
2024-09-05T12:10:00Z,37,37,37
2024-09-05T12:20:00Z,35,34,34.5
2024-09-05T12:30:00Z,35,35,35
2024-09-05T12:40:00Z,36,37,36.5
2024-09-05T12:50:00Z,34,34,34
2024-09-05T13:00:00Z,33,33,33
2024-09-05T13:10:00Z,31,34,32.5
2024-09-05T13:20:00Z,34,35,34.5
2024-09-05T13:30:00Z,28,29,28.5
2024-09-05T13:40:00Z,30,30,30
2024-09-05T13:50:00Z,28,31,29.5
2024-09-05T14:00:00Z,32,35,33.5
2024-09-05T14:10:00Z,35,38,36.5
2024-09-05T14:20:00Z,36,37,36.5
2024-09-05T14:30:00Z,36,39,37.5
2024-09-05T14:40:00Z,40,41,40.5
2024-09-05T14:50:00Z,42,43,42.5
2024-09-05T15:00:00Z,51,51,51
2024-09-05T15:10:00Z,44,45,44.5
2024-09-05T15:20:00Z,41,42,41.5
2024-09-05T15:30:00Z,33,35,34
2024-09-05T15:40:00Z,27,30,28.5
2024-09-05T15:50:00Z,25,23,24
2024-09-05T16:00:00Z,26,29,27.5
2024-09-05T16:10:00Z,33,34,33.5
2024-09-05T16:20:00Z,32,34,33
2024-09-05T16:30:00Z,31,30,30.5
2024-09-05T16:40:00Z,32,33,32.5
2024-09-05T16:50:00Z,29,29,29
2024-09-05T17:00:00Z,31,30,30.5
2024-09-05T17:10:00Z,31,31,31
2024-09-05T17:20:00Z,31,31,31
2024-09-05T17:30:00Z,33,33,33
2024-09-05T17:40:00Z,35,34,34.5
2024-09-05T17:50:00Z,32,31,31.5
2024-09-05T18:00:00Z,32,32,32
2024-09-05T18:10:00Z,35,34,34.5
2024-09-05T18:20:00Z,37,35,36
2024-09-05T18:30:00Z,37,36,36.5
2024-09-05T18:40:00Z,38,38,38
2024-09-05T18:50:00Z,40,42,41
